"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
educationfather,adult_selfreport_baseline_form,,radio,"What is the highest level of education your FATHER completed?","1, Some grade school | 2, Some high school | 3, High school diploma or GED | 4, Some college or 2-year degree | 5, 4-year college graduate | 6, Some school beyond college | 7, Graduate or professional degree",,,,,,,,,,,,
householdnumber,adult_selfreport_baseline_form,,text,"How many people currently live in your home (excluding yourself)? ",,,number,,,,,,,,,,
householdcomp,adult_selfreport_baseline_form,,checkbox,"Please specify your relationship to the people in your home (check all that apply):","1, Partner/Spouse | 2, Parent(s) | 3, Grandparent(s) | 4, Siblings | 5, Children | 6, Other relatives | 7, Unrelated person",,,,,,,,,,,,
roomsinhouse,adult_selfreport_baseline_form,,text,"How many rooms (total) are in your home?  ",,,number,,,,,,,,,,
insurance,adult_selfreport_baseline_form,,radio,"Are you covered by health insurance?","1, Yes, military | 2, Yes, employer-sponsored | 3, Yes, individual | 4, Yes, Medicare | 5, Yes, Medicaid or CHIP | 6, Yes, other | 7, No",,,,,,,,,,,,
govassist,adult_selfreport_baseline_form,,yesno,"In the 3 months prior to the Coronavirus/COVID-19 crisis in your area, did you or your family receive money from government assistance programs like welfare, Aid to Families with Dependent Children, General Assistance, or Temporary Assistance for Needy Families?",,,,,,,,,,,,,
physicalhealth,adult_selfreport_baseline_form,,radio,"How would you rate your overall physical health? ","1, Excellent | 2, Very Good | 3, Good | 4, Fair | 5, Poor",,,,,,,,,,,,
healthconditions,adult_selfreport_baseline_form,,checkbox,"Has a health professional ever told you that you had any of the following health conditions (check all that apply)? ","1, Seasonal allergies | 2, Asthma or other lung problems | 3, Heart problems | 4, Kidney problems | 5, Immune disorder | 6, Diabetes or high blood sugar | 7, Cancer | 8, Arthritis | 9, Frequent or very bad headaches | 10, Epilepsy or seizures | 11, Serious stomach or bowel problems | 12, Serious acne or skin problems | 13, Emotional or mental health problems such as Depression or Anxiety | 14, Problems with alcohol or drugs",,,,,,,,,,,,
tall,adult_selfreport_baseline_form,,text,"How tall are you? (inches)",,,number,,,,,,,,,,
weight,adult_selfreport_baseline_form,,text,"How much do you weigh? (pounds)",,,number,,,,,,,,,,
mentalhealth,adult_selfreport_baseline_form,,radio,"How would you rate your overall Mental/Emotional health before the Coronavirus/COVID-19 crisis in your area? ","1, Excellent | 2, Very Good | 3, Good | 4, Fair | 5, Poor",,,,,,,,,,,,
twoweekscovid,adult_selfreport_baseline_form,"CORONAVIRUS/COVID-19 HEALTH/EXPOSURE STATUS",descriptive,"During the <u>PAST TWO WEEKS<u>:",,,,,,,,,,,,,
exposed,adult_selfreport_baseline_form,,checkbox,"...have you been exposed to someone likely to have Coronavirus/COVID-19? (check all that apply)","1, Yes, someone with positive test | 2, Yes, someone with medical diagnosis, but no test | 3, Yes, someone with possible symptoms, but no diagnosis by doctor | 4, No",,,,,,,,,,,,
infected,adult_selfreport_baseline_form,,radio,"...have you been suspected of having Coronavirus/COVID-19 infection?","1, Yes, has positive test | 2, Yes, medical diagnosis, but no test | 3, Yes, have had some possible symptoms, but no diagnosis by doctor | 4, No symptoms or signs",,,,,,,,,,,,
symptoms,adult_selfreport_baseline_form,,checkbox,"...have you had any of the following symptoms? (check all that apply)","1, Fever | 2, Cough | 3, Shortness of breath | 4, Sore throat | 5, Fatigue | 6, Loss of taste or smell | 7, Other",,,,,,,,,,,,
othersymptoms,adult_selfreport_baseline_form,,text,Other:,,,,,,,"[symptoms(7)] = '1'",,,,,,
diagnosedfamily,adult_selfreport_baseline_form,,checkbox,"...has anyone in your family been diagnosed with Coronavirus/COVID-19? (check all that apply)","1, Yes, member of household | 2, Yes, non-household member | 3, No",,,,,,,,,,,,
impact,adult_selfreport_baseline_form,,checkbox,"...have any of the following happened to your family members because of Coronavirus/COVID-19? (check all that apply) ","1, Fallen ill physically | 2, Hospitalized | 3, Put into self-quarantine with symptoms | 4, Put into self-quarantine without symptoms (e.g., due to possible exposure) | 5, Lost job | 6, Reduced ability to earn money | 7, Passed away | 8, None of the above",,,,,,,,,,,,
twoweeksworried,adult_selfreport_baseline_form,,descriptive,"During the <u>PAST TWO WEEKS</u>, how worried have you been about:",,,,,,,,,,,,,
worriedyourself,adult_selfreport_baseline_form,,radio,"...being infected?","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
worriedothers,adult_selfreport_baseline_form,,radio,"...friends or family being infected?","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
worriedphysical,adult_selfreport_baseline_form,,radio,"...your <i>physical health</i> being inﬂuenced by Coronavirus/COVID-19?","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
worriedmental,adult_selfreport_baseline_form,,radio,"...your <i>Mental/Emotional health</i> being inﬂuenced by Coronavirus/COVID-19?
","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
readingtalking,adult_selfreport_baseline_form,,radio,"How much are you reading, or talking about Coronavirus/COVID-19?","1, Never | 2, Rarely | 3, Occasionally | 4, Often | 5, Most of the time",,,,,,,,,,,,
positivechange,adult_selfreport_baseline_form,,radio,"Has the Coronavirus/COVID-19 crisis in your area led to any positive changes in your life?
","1, None | 2, Only a few | 3, Some",,,,,,,,,,,,
specifypositive,adult_selfreport_baseline_form,,text,"Please specify:",,,,,,,"[positivechange] = '2' or [positivechange] = '3'",,,,,,
twoweekslifechanges,adult_selfreport_baseline_form,"LIFE CHANGES DUE TO CORONAVIRUS/COVID-19 CRISIS IN THE LAST TWO WEEKS
",descriptive,"During the <u>PAST TWO WEEKS</u>:",,,,,,,,,,,,,
schoolclosed,adult_selfreport_baseline_form,,yesno,"...if you attend school, has your school building been closed? 
",,,,,,,,,,,,,
classesinsession,adult_selfreport_baseline_form,,yesno,"Are classes in session?",,,,,,,"[schoolclosed] = '0'",,,,,,
classesirl,adult_selfreport_baseline_form,,yesno,"Are you attending classes in-person? ",,,,,,,"[schoolclosed] = '0'",,,,,,
onlineclasses,adult_selfreport_baseline_form,,yesno,"Have classes resumed online? ",,,,,,,"[schoolclosed] = '1'",,,,,,
internetcompacess,adult_selfreport_baseline_form,,yesno,"Do you have easy access to the internet and a computer?",,,,,,,"[schoolclosed] = '1'",,,,,,
assignments,adult_selfreport_baseline_form,,yesno,"Are there assignments for you to complete? ",,,,,,,"[schoolclosed] = '1'",,,,,,
mealsfromschool,adult_selfreport_baseline_form,,yesno,"Are you able to receive meals from the school?",,,,,,,"[schoolclosed] = '1'",,,,,,
workclosed,adult_selfreport_baseline_form,,yesno,"...if you are working, has your workplace closed?",,,,,,,,,,,,,
telework,adult_selfreport_baseline_form,,yesno,"...if you are working, have you been able to telework or work from home? ",,,,,,,,,,,,,
inpersonconvo,adult_selfreport_baseline_form,,text,"...how many people, from outside of your household, have you had an in-person conversation with? 
",,,number,,,,,,,,,,
timeoutside,adult_selfreport_baseline_form,,radio,"...how much time have you spent going outside of the home (e.g., going to stores, parks, etc.)?

","1, Not at all | 2, 1-2 days per week | 3, A few days per week | 4, Several days per week | 5, Every day",,,,,,,,,,,,
restrictionsstress,adult_selfreport_baseline_form,,radio,"...how stressful have the restrictions on leaving home been for you?

","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
contactschanged,adult_selfreport_baseline_form,,radio,"...have your contacts with people outside of your home changed relative to <i>before</i> the Coronavirus/COVID-19 crisis in your area?

","1, A lot less | 2, A little less | 3, About the same | 4, A little more | 5, A lot more",,,,,,,,,,,,
difficultydistancing,adult_selfreport_baseline_form,,radio,"...how much difﬁculty have you had following the recommendations for keeping away from close contact with people?

","1, None | 2, A little | 3, Moderate | 4, A lot | 5, A great amount",,,,,,,,,,,,
familychange,adult_selfreport_baseline_form,,radio,"...has the quality of the relationships between you and members of your family changed? 

","1, A lot worse | 2, A little worse | 3, About the same | 4, A little better | 5, A lot better",,,,,,,,,,,,
familychangestress,adult_selfreport_baseline_form,,radio,"...how stressful have these changes in family contacts been for you?



","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
friendschange,adult_selfreport_baseline_form,,radio,"...has the quality of your relationships with your friends changed?




","1, A lot worse | 2, A little worse | 3, About the same | 4, A little better | 5, A lot better",,,,,,,,,,,,
friendchangestress,adult_selfreport_baseline_form,,radio,"...how stressful have these changes in social contacts been for you?



","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
difficultycancellations,adult_selfreport_baseline_form,,radio,"...how much has cancellation of important events (such as graduation, prom, vacation, etc.) in your life been difficult for you?


","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
financedifficulty,adult_selfreport_baseline_form,,radio,"...to what degree have changes related to the Coronavirus/COVID-19 crisis in your area created financial problems for you or your family?


","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
livingdifficulty,adult_selfreport_baseline_form,,radio,"...to what degree are you concerned about the stability of your living situation?


","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
foodsecurity,adult_selfreport_baseline_form,,yesno,"...did you worry whether your food would run out because of a lack of money? 


",,,,,,,,,,,,,
hopefullyend,adult_selfreport_baseline_form,,radio,"How hopeful are you that the Coronavirus/COVID-19 crisis in your area will end soon?



","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
threemonthspriorbehavior,adult_selfreport_baseline_form,"DAILY BEHAVIORS (THREE MONTHS PRIOR TO CRISIS)",descriptive,"During the <u>THREE MONTHS PRIOR</u> to the onset of the Coronavirus/COVID-19 crisis in your area:",,,,,,,,,,,,,
hoursofsleepprior,adult_selfreport_baseline_form,,radio,"...how many hours per night did you sleep on average?
","1, < 6 hours | 2, 6-8 hours | 3, 8-10 hours | 4, >10 hours",,,,,,,,,,,,
exerciseprior,adult_selfreport_baseline_form,,radio,"...how many days per week did you exercise (e.g., increased heart rate, breathing) for at least 30 minutes?


","1, None | 2, 1-2 days | 3, 3-4 days | 4, 5-6 days | 5, Daily",,,,,,,,,,,,
outdoorsprior,adult_selfreport_baseline_form,,radio,"...how many days per week did you spend time outdoors?


","1, None | 2, 1-2 days | 3, 3-4 days | 4, 5-6 days | 5, Daily",,,,,,,,,,,,
threemonthsprioremotions,adult_selfreport_baseline_form,"EMOTIONS/WORRIES (THREE MONTHS PRIOR TO CRISIS)",descriptive,"During the <u>THREE MONTHS PRIOR</u> to the onset of the Coronavirus/COVID-19 crisis in your area:",,,,,,,,,,,,,
priorworry,adult_selfreport_baseline_form,,radio,"...how worried were you generally?


","1, Not worried at all | 2, Slightly worried | 3, Moderately worried | 4, Very worried | 5, Extremely worried",,,,,,,,,,,,
priorhappyvssad,adult_selfreport_baseline_form,,radio,"...how happy versus sad were you?


","1, Very sad/depressed/unhappy | 2, Moderately sad/depressed/unhappy | 3, Neutral | 4, Moderately happy/cheerful | 5, Very happy/cheerful",,,,,,,,,,,,
priorenjoyactivities,adult_selfreport_baseline_form,,radio,"...how much were you able to enjoy your usual activities? ","1, Not at all | 2, Slightly | 3, Moderately | 4, Very much | 5, A lot",,,,,,,,,,,,
priorrelaxedvsanxious,adult_selfreport_baseline_form,,radio,"...how relaxed versus anxious were you?","1, Very relaxed/calm | 2, Moderately relaxed/calm | 3, Neutral | 4, Moderately nervous/anxious | 5, Very nervous/anxious",,,,,,,,,,,,
priorfidget,adult_selfreport_baseline_form,,radio,"...how fidgety or restless were you?","1, Not fidgety/restless at all | 2, Slightly fidgety/restless | 3, Moderately fidgety/restless | 4, Very fidgety/restless | 5, Extremely fidgety/restless",,,,,,,,,,,,
priorfatigue,adult_selfreport_baseline_form,,radio,"...how fatigued or tired were you?","1, Not fatigued or tired at all | 2, Slightly fatigued or tired | 3, Moderately fatigued or tired | 4, Very fatigued or tired | 5, Extremely fatigued or tired",,,,,,,,,,,,
priorfocus,adult_selfreport_baseline_form,,radio,"...how well were you able to concentrate or focus?","1, Very focused/attentive | 2, Moderately focused/attentive | 3, Neutral | 4, Moderately unfocused/distracted | 5, Very unfocused/distracted",,,,,,,,,,,,
priorirritable,adult_selfreport_baseline_form,,radio,"...how irritable or easily angered were you?","1, Not irritable or easily angered at all | 2, Slightly irritable or easily angered | 3, Moderately irritable or easily angered | 4, Very irritable or easily angered | 5, Extremely irritable or easily angered",,,,,,,,,,,,
priorlonely,adult_selfreport_baseline_form,,radio,"...how lonely were you?","1, Not lonely at all | 2, Slightly lonely | 3, Moderately lonely | 4, Very lonely | 5, Extremely lonely",,,,,,,,,,,,
priornegthoughts,adult_selfreport_baseline_form,,radio,"...to what extent did you have negative thoughts, thoughts about unpleasant experiences or things that made you feel bad?","1, Not at all | 2, Rarely | 3, Occasionally | 4, Often | 5, A lot of the time",,,,,,,,,,,,
threemonthspriormedia,adult_selfreport_baseline_form,"MEDIA USE (THREE MONTHS PRIOR TO CRISIS) ",descriptive,"During the <u>THREE MONTHS PRIOR</u> to the onset of the Coronavirus/COVID-19 crisis in your area, how much time per day did you spend:",,,,,,,,,,,,,
priortvmedia,adult_selfreport_baseline_form,,radio,"...watching TV or digital media (e.g., Netflix, YouTube, web surfing)? 
","1, No TV or digital media | 2, Under 1 hour | 3, 1-3 hours | 4, 4-6 hours | 5, More than 6 hours",,,,,,,,,,,,
priorsocialmedia,adult_selfreport_baseline_form,,radio,"...using social media (e.g., Facetime, Facebook, Instagram, Snapchat, Twitter, TikTok)?
","1, No social media | 2, Under 1 hour | 3, 1-3 hours | 4, 4-6 hours | 5, More than 6 hours",,,,,,,,,,,,
priorvideogames,adult_selfreport_baseline_form,,radio,"...playing video games?
","1, No video games | 2, Under 1 hour | 3, 1-3 hours | 4, 4-6 hours | 5, More than 6 hours",,,,,,,,,,,,
threemonthspriorsubstance,adult_selfreport_baseline_form,"SUBSTANCE USE (THREE MONTHS PRIOR TO CRISIS)",descriptive,"During the <u>THREE MONTHS PRIOR</u> to the onset of the Coronavirus/COVID-19 crisis in your area, how frequently did you use:",,,,,,,,,,,,,
threemonthsalcohol,adult_selfreport_baseline_form,,radio,...alcohol?,"1, Not at all | 2, Rarely | 3, Occasionally | 4, Often | 5, Regularly",,,,,,,,,,,,
threemonthsvaping,adult_selfreport_baseline_form,,radio,...vaping?,"1, Not at all | 2, Rarely | 3, Occasionally | 4, Often | 5, Regularly",,,,,,,,,,,,
threemonthstobacco,adult_selfreport_baseline_form,,radio,"...cigarettes or other tobacco?","1, Not at all | 2, Rarely | 3, Occasionally | 4, Often | 5, Regularly",,,,,,,,,,,,
threemonthsmarijuana,adult_selfreport_baseline_form,,radio,"...marijuana/cannabis (e.g., joint, blunt, pipe, bong)?","1, Not at all | 2, Rarely | 3, Occasionally | 4, Often | 5, Regularly",,,,,,,,,,,,
threemonthsopiates,adult_selfreport_baseline_form,,radio,"...opiates, heroin, or narcotics?","1, Not at all | 2, Rarely | 3, Occasionally | 4, Often | 5, Regularly",,,,,,,,,,,,
threemonthsother,adult_selfreport_baseline_form,,radio,"...other drugs including cocaine, crack, amphetamine, methamphetamine, hallucinogens, or ecstasy?","1, Not at all | 2, Rarely | 3, Occasionally | 4, Often | 5, Regularly",,,,,,,,,,,,
threemonthssleepingmeds,adult_selfreport_baseline_form,,radio,"...sleeping medications or sedatives/hypnotics?","1, Not at all | 2, Rarely | 3, Occasionally | 4, Often | 5, Regularly",,,,,,,,,,,,
twoweeksbehaviors,adult_selfreport_baseline_form,"DAILY BEHAVIORS (PAST TWO WEEKS)",descriptive,"During the <u>PAST TWO WEEKS</u>:",,,,,,,,,,,,,
hoursofsleepprior_2,adult_selfreport_baseline_form,,radio,"...how many hours per night did you sleep on average?
","1, < 6 hours | 2, 6-8 hours | 3, 8-10 hours | 4, >10 hours",,,,,,,,,,,,
exerciseprior_2,adult_selfreport_baseline_form,,radio,"...how many days per week did you exercise (e.g., increased heart rate, breathing) for at least 30 minutes?


","1, None | 2, 1-2 days | 3, 3-4 days | 4, 5-6 days | 5, Daily",,,,,,,,,,,,
outdoorsprior_2,adult_selfreport_baseline_form,,radio,"...how many days per week did you spend time outdoors?


","1, None | 2, 1-2 days | 3, 3-4 days | 4, 5-6 days | 5, Daily",,,,,,,,,,,,
twoweeksemotions,adult_selfreport_baseline_form,"EMOTIONS/WORRIES (PAST TWO WEEKS)",descriptive,"During the <u>PAST TWO WEEKS</u>:",,,,,,,,,,,,,
priorworry_2,adult_selfreport_baseline_form,,radio,"...how worried were you generally?


","1, Not worried at all | 2, Slightly worried | 3, Moderately worried | 4, Very worried | 5, Extremely worried",,,,,,,,,,,,
priorhappyvssad_2,adult_selfreport_baseline_form,,radio,"...how happy versus sad were you?


","1, Very sad/depressed/unhappy | 2, Moderately sad/depressed/unhappy | 3, Neutral | 4, Moderately happy/cheerful | 5, Very happy/cheerful",,,,,,,,,,,,
priorenjoyactivities_2,adult_selfreport_baseline_form,,radio,"...how much were you able to enjoy your usual activities? ","1, Not at all | 2, Slightly | 3, Moderately | 4, Very much | 5, A lot",,,,,,,,,,,,
priorrelaxedvsanxious_2,adult_selfreport_baseline_form,,radio,"...how relaxed versus anxious were you?","1, Very relaxed/calm | 2, Moderately relaxed/calm | 3, Neutral | 4, Moderately nervous/anxious | 5, Very nervous/anxious",,,,,,,,,,,,
priorfidget_2,adult_selfreport_baseline_form,,radio,"...how fidgety or restless were you?","1, Not fidgety/restless at all | 2, Slightly fidgety/restless | 3, Moderately fidgety/restless | 4, Very fidgety/restless | 5, Extremely fidgety/restless",,,,,,,,,,,,
priorfatigue_2,adult_selfreport_baseline_form,,radio,"...how fatigued or tired were you?","1, Not fatigued or tired at all | 2, Slightly fatigued or tired | 3, Moderately fatigued or tired | 4, Very fatigued or tired | 5, Extremely fatigued or tired",,,,,,,,,,,,
priorfocus_2,adult_selfreport_baseline_form,,radio,"...how well were you able to concentrate or focus?","1, Very focused/attentive | 2, Moderately focused/attentive | 3, Neutral | 4, Moderately unfocused/distracted | 5, Very unfocused/distracted",,,,,,,,,,,,
priorirritable_2,adult_selfreport_baseline_form,,radio,"...how irritable or easily angered have you been?","1, Not irritable or easily angered at all | 2, Slightly irritable or easily angered | 3, Moderately irritable or easily angered | 4, Very irritable or easily angered | 5, Extremely irritable or easily angered",,,,,,,,,,,,
priorlonely_2,adult_selfreport_baseline_form,,radio,"...how lonely were you?","1, Not lonely at all | 2, Slightly lonely | 3, Moderately lonely | 4, Very lonely | 5, Extremely lonely",,,,,,,,,,,,
priornegthoughts_2,adult_selfreport_baseline_form,,radio,"...to what extent did you have negative thoughts, thoughts about unpleasant experiences or things that make you feel bad?","1, Not at all | 2, Rarely | 3, Occasionally | 4, Often | 5, A lot of the time",,,,,,,,,,,,
twoweeksmedia,adult_selfreport_baseline_form,"MEDIA USE (PAST TWO WEEKS) ",descriptive,"During the <u>PAST TWO WEEKS</u>, how much time per day did you spend:",,,,,,,,,,,,,
priortvmedia_2,adult_selfreport_baseline_form,,radio,"...watching TV or digital media (e.g., Netflix, YouTube, web surfing)? 
","1, No TV or digital media | 2, Under 1 hour | 3, 1-3 hours | 4, 4-6 hours | 5, More than 6 hours",,,,,,,,,,,,
priorsocialmedia_2,adult_selfreport_baseline_form,,radio,"...using social media (e.g., Facetime, Facebook, Instagram, Snapchat, Twitter, TikTok)?
","1, No social media | 2, Under 1 hour | 3, 1-3 hours | 4, 4-6 hours | 5, More than 6 hours",,,,,,,,,,,,
priorvideogames_2,adult_selfreport_baseline_form,,radio,"...playing video games?
","1, No video games | 2, Under 1 hour | 3, 1-3 hours | 4, 4-6 hours | 5, More than 6 hours",,,,,,,,,,,,
twoweekssubstances,adult_selfreport_baseline_form,"SUBSTANCE USE (PAST TWO WEEKS)",descriptive,"During the <u>PAST TWO WEEKS</u>, how frequently did you use:",,,,,,,,,,,,,
twoweeksalcohol,adult_selfreport_baseline_form,,radio,...alcohol?,"1, Not at all | 2, Rarely | 3, Occasionally | 4, Often | 5, Regularly",,,,,,,,,,,,
twoweeksvaping,adult_selfreport_baseline_form,,radio,...vaping?,"1, Not at all | 2, Rarely | 3, Occasionally | 4, Often | 5, Regularly",,,,,,,,,,,,
twoweekstobacco,adult_selfreport_baseline_form,,radio,"...cigarettes or other tobacco?","1, Not at all | 2, Rarely | 3, Occasionally | 4, Often | 5, Regularly",,,,,,,,,,,,
twoweeksmarijuana,adult_selfreport_baseline_form,,radio,"...marijuana/cannabis (e.g., joint, blunt, pipe, bong)?","1, Not at all | 2, Rarely | 3, Occasionally | 4, Often | 5, Regularly",,,,,,,,,,,,
twoweeksopiates,adult_selfreport_baseline_form,,radio,"...opiates, heroin, or narcotics?","1, Not at all | 2, Rarely | 3, Occasionally | 4, Often | 5, Regularly",,,,,,,,,,,,
twoweeksother,adult_selfreport_baseline_form,,radio,"...other drugs including cocaine, crack, amphetamine, methamphetamine, hallucinogens, or ecstasy?","1, Not at all | 2, Rarely | 3, Occasionally | 4, Often | 5, Regularly",,,,,,,,,,,,
twoweeksleeping,adult_selfreport_baseline_form,,radio,"...sleeping medications or sedatives/hypnotics?","1, Not at all | 2, Rarely | 3, Occasionally | 4, Often | 5, Regularly",,,,,,,,,,,,
disruptedsupports,adult_selfreport_baseline_form,SUPPORTS,checkbox,"Which of the following supports were in place for you before the Coronavirus/COVID-19 crisis in your area and have been disrupted over the <u>PAST TWO WEEKS?</u> (check all that apply)","1, Resource room | 2, Tutoring | 3, Mentoring programs | 4, After school activity programs | 5, Volunteer programs | 6, Psychotherapy | 7, Psychiatric care | 8, Occupational therapy | 9, Physical therapy | 10, Speech/language therapy | 11, Sporting activities | 12, Medical care for chronic illnesses | 13, Other",,,,,,,,,,,,
disruptedsupportsother,adult_selfreport_baseline_form,,text,Other:,,,,,,,"[disruptedsupports(13)] = '1'",,,,,,
anything_else,adult_selfreport_baseline_form,"ADDITIONAL CONCERNS AND COMMENTS",notes,"Please describe anything else that concerns you about the impact of Coronavirus/COVID-19 on you, your friends, or your family.",,,,,,,,,,,,,
surveycomments,adult_selfreport_baseline_form,,notes,"Please provide any comments that you would like to share about this survey and/or related topics.",,,,,,,,,,,,,
